Name, MinsToPlay, MinNumPlayers, MaxNumPlayers
GloomHaven, 180, 1, 4
Dice Throne Adventures, 120, 1, 4
Dice Throne, 45, 2, 6
Scythe, 120, 1, 7
Last Night on Earth, 90, 2, 6
Sushi Go Party!, 20, 2, 8
Monopoly Deal, 15, 2, 5
Skip-Bo, 30, 2, 6
Munchkin Zombies, 90, 3, 6
Letter Jam, 45, 2, 6
Bang!, 90, 4, 8
Banana Grams, 30, 2, 8
Spot It, 10, 2, 8
Rook, 30, 2, 6
Mad Gab, 20, 2, 12
Uno Flip, 15, 2, 10
Liars Dice, 30, 2, 4
Speak Out, 30, 4, 10
Boggle, 10, 2, 12
Scrabble, 30, 2, 4
Pictionary, 60, 2, 12