Name, MinutesToPlay, MinNumberOfPlayers, MaxNumberOfPlayers, IsFavorite
GloomHaven, 180, 1, 4, 1
Dice Throne Adventures, 120, 1, 4, 1
Dice Throne, 45, 2, 6, 1
Scythe, 120, 1, 7, 1
Last Night on Earth, 90, 2, 6, 1
Sushi Go Party!, 20, 2, 8, 1
Monopoly Deal, 15, 2, 5, 1
Skip-Bo, 30, 2, 6, 1
Munchkin Zombies, 90, 3, 6, 1
Letter Jam, 45, 2, 6, 1
Bang!, 90, 4, 8, 1
Banana Grams, 30, 2, 8, 1
Spot It, 10, 2, 8, 0
Rook, 30, 2, 6, 0
Mad Gab, 20, 2, 12, 0
Uno Flip, 15, 2, 10, 0
Liars Dice, 30, 2, 4, 0
Speak Out, 30, 4, 10, 0
Boggle, 10, 2, 12, 1
Scrabble, 30, 2, 4, 1
Pictionary, 60, 2, 12, 1